epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,22198.1,0.62426,0.36206,0.99061,0.95213,0.96291,0.97822,0.84846,0.62176,0.33025,0.99559,0.003169,0.003169,0.003169
71,22429.4,0.62275,0.36092,0.98873,0.95339,0.96215,0.97889,0.85129,0.61901,0.32886,0.99423,0.00307,0.00307,0.00307
72,22636.1,0.61718,0.3587,0.98786,0.95461,0.96135,0.9785,0.85087,0.61837,0.32627,0.99293,0.002971,0.002971,0.002971
73,22840.9,0.61864,0.3568,0.98874,0.95452,0.96215,0.97893,0.85171,0.61889,0.32565,0.99277,0.002872,0.002872,0.002872
74,23046.6,0.61734,0.35643,0.98709,0.95078,0.96573,0.97877,0.85139,0.61937,0.3258,0.99317,0.002773,0.002773,0.002773
75,23251.6,0.61188,0.3531,0.98536,0.9535,0.96163,0.97819,0.85124,0.61842,0.32377,0.99255,0.002674,0.002674,0.002674
76,23458.9,0.6128,0.35303,0.98136,0.95601,0.95893,0.9787,0.85146,0.61699,0.32303,0.99106,0.002575,0.002575,0.002575
77,23665.7,0.60898,0.35386,0.98609,0.9558,0.95968,0.97839,0.85238,0.61534,0.32349,0.99001,0.002476,0.002476,0.002476
78,23871.2,0.60775,0.35203,0.98168,0.95585,0.95902,0.97849,0.85192,0.61565,0.32302,0.99058,0.002377,0.002377,0.002377
79,24076.1,0.60777,0.35002,0.98064,0.95343,0.96082,0.97846,0.85198,0.61543,0.32274,0.9909,0.002278,0.002278,0.002278
80,24283.2,0.59771,0.341,0.97965,0.95658,0.95779,0.97855,0.85216,0.61565,0.32259,0.99077,0.002179,0.002179,0.002179
81,24488.5,0.60038,0.34576,0.97845,0.95554,0.95825,0.97839,0.85256,0.61517,0.32261,0.98978,0.00208,0.00208,0.00208
82,24695.6,0.59743,0.34057,0.97571,0.95021,0.96462,0.9788,0.85276,0.61533,0.3212,0.98962,0.001981,0.001981,0.001981
